# time  ID  size  fromHost  toHost  TTL  isResponse
1226.0000 M42 713417 p43 p72 300 N 
1253.0000 M43 625067 c10 p58 300 N 
1284.0000 M44 663117 p47 p41 300 N 
1316.0000 M45 740228 p78 c23 300 N 
1348.0000 M46 702628 c10 c39 300 N 
1373.0000 M47 940661 c6 c12 300 N 
1405.0000 M48 605393 c26 c32 300 N 
1430.0000 M49 631448 p65 p75 300 N 
1458.0000 M50 675185 p69 p54 300 N 
1483.0000 M51 610794 c26 p55 300 N 
1514.0000 M52 870477 c7 c32 300 N 
1545.0000 M53 514267 c25 c22 300 N 
1579.0000 M54 699877 c4 c23 300 N 
1604.0000 M55 683682 p70 p50 300 N 
1637.0000 M56 947168 p50 p59 300 N 
1668.0000 M57 566837 p76 c2 300 N 
1699.0000 M58 749524 c5 p61 300 N 
1724.0000 M59 732529 p69 c26 300 N 
1757.0000 M60 975369 c2 p52 300 N 
1791.0000 M61 600848 c6 p43 300 N 
1820.0000 M62 874890 p68 c1 300 N 
1854.0000 M63 846462 p44 c17 300 N 
1879.0000 M64 558842 c28 p76 300 N 
1911.0000 M65 883837 p44 p48 300 N 
1937.0000 M66 716229 c10 p78 300 N 
1971.0000 M67 540182 c30 c32 300 N 
1999.0000 M68 647683 c22 p54 300 N 
2000.1000 G0 1 c0 c28 300 N 
2000.1000 G20 1 c20 p65 300 N 
2000.1000 G5 1 c5 p71 300 N 
2000.1000 G30 1 c30 p65 300 N 
2000.1000 G10 1 c10 c35 300 N 
2000.1000 G15 1 c15 p42 300 N 
2000.1000 G25 1 c25 p53 300 N 
2000.1000 G35 1 c35 p48 300 N 
2028.0000 M69 862524 c0 c11 300 N 
2062.0000 M70 507924 p58 c11 300 N 
2090.0000 M71 757453 p61 p62 300 N 
2118.0000 M72 522530 c8 c35 300 N 
2144.0000 M73 736881 c27 c17 300 N 
2175.0000 M74 632900 p58 c13 300 N 
2208.0000 M75 886747 c22 p60 300 N 
2239.0000 M76 511671 p50 c32 300 N 
2267.0000 M77 953285 p75 c16 300 N 
2299.0000 M78 917477 p69 p41 300 N 
2332.0000 M79 961462 p78 c31 300 N 
2363.0000 M80 742143 p63 p60 300 N 
2396.0000 M81 944285 p68 p43 300 N 
2428.0000 M82 960516 p48 p75 300 N 
2458.0000 M83 852404 c3 c5 300 N 
2488.0000 M84 940506 c3 c8 300 N 
2522.0000 M85 551391 p71 p72 300 N 
2549.0000 M86 987409 p70 c26 300 N 
2575.0000 M87 857260 p58 c35 300 N 
2607.0000 M88 936709 p68 c31 300 N 
2638.0000 M89 827347 c31 p55 300 N 
2667.0000 M90 853946 p59 c10 300 N 
2698.0000 M91 707989 p49 p55 300 N 
2731.0000 M92 722463 p57 c18 300 N 
2765.0000 M93 850687 c14 p50 300 N 
2796.0000 M94 663342 p67 c14 300 N 
2828.0000 M95 822565 p48 p59 300 N 
2857.0000 M96 802760 p55 p48 300 N 
2887.0000 M97 507241 c4 c9 300 N 
2913.0000 M98 765178 p62 c13 300 N 
2942.0000 M99 900307 p76 p45 300 N 
2967.0000 M100 737532 c6 p75 300 N 
2994.0000 M101 662263 c22 c35 300 N 
3000.2000 G30 1 c30 p67 300 N 
3000.2000 G0 1 c0 c32 300 N 
3000.2000 G35 1 c35 p51 300 N 
3000.2000 G20 1 c20 p70 300 N 
3000.2000 G10 1 c10 p56 300 N 
3000.2000 G15 1 c15 c36 300 N 
3000.2000 G25 1 c25 p63 300 N 
3000.2000 G5 1 c5 p45 300 N 
3020.0000 M102 906766 c33 c25 300 N 
3052.0000 M103 945396 p62 c13 300 N 
3081.0000 M104 755835 c21 p55 300 N 
3112.0000 M105 968721 p48 c24 300 N 
3146.0000 M106 661975 c5 c10 300 N 
3176.0000 M107 690465 p43 c15 300 N 
3202.0000 M108 924739 p59 p66 300 N 
3236.0000 M109 830077 p72 p60 300 N 
3270.0000 M110 887512 c30 c2 300 N 
3297.0000 M111 517153 c12 c36 300 N 
3327.0000 M112 982169 p68 p40 300 N 
3354.0000 M113 826370 c17 p53 300 N 
3383.0000 M114 804649 c23 p64 300 N 
3410.0000 M115 868464 c25 c21 300 N 
3436.0000 M116 553518 p62 c27 300 N 
3462.0000 M117 990380 p64 c21 300 N 
3491.0000 M118 786640 p74 c8 300 N 
3518.0000 M119 524342 c25 c15 300 N 
3545.0000 M120 601626 c13 c22 300 N 
3576.0000 M121 975987 c8 c20 300 N 
3602.0000 M122 614169 c21 p75 300 N 
3636.0000 M123 729639 p60 c10 300 N 
3666.0000 M124 870651 p68 c6 300 N 
3699.0000 M125 512443 c1 c13 300 N 
3729.0000 M126 506002 c18 c30 300 N 
3761.0000 M127 724055 p65 c29 300 N 
3786.0000 M128 860878 c15 p64 300 N 
3817.0000 M129 536904 p65 p77 300 N 
3848.0000 M130 742886 p71 c22 300 N 
3879.0000 M131 765115 p68 p55 300 N 
3909.0000 M132 591759 c22 p76 300 N 
3943.0000 M133 856159 p64 p78 300 N 
3974.0000 M134 787682 p54 c5 300 N 
4000.3000 G20 1 c20 p77 300 N 
4000.3000 G15 1 c15 p68 300 N 
4000.3000 G30 1 c30 p48 300 N 
4000.3000 G35 1 c35 c7 300 N 
4000.3000 G5 1 c5 p40 300 N 
4000.3000 G10 1 c10 c5 300 N 
4000.3000 G25 1 c25 p55 300 N 
4000.3000 G0 1 c0 p51 300 N 
4003.0000 M135 783655 p43 c6 300 N 
4030.0000 M136 631418 c30 p50 300 N 
4055.0000 M137 939621 p55 c2 300 N 
4087.0000 M138 807091 p43 c15 300 N 
4118.0000 M139 592720 c36 p52 300 N 
4149.0000 M140 527788 p73 p76 300 N 
4180.0000 M141 725726 c6 p67 300 N 
4205.0000 M142 731013 p41 p48 300 N 
4230.0000 M143 663690 p60 p76 300 N 
4258.0000 M144 631105 c37 c21 300 N 
4289.0000 M145 505487 p72 c11 300 N 
4317.0000 M146 807429 c31 c14 300 N 
4343.0000 M147 625450 c6 c18 300 N 
4377.0000 M148 586647 c10 p58 300 N 
4407.0000 M149 719739 c9 c7 300 N 
4437.0000 M150 736319 c0 p48 300 N 
4463.0000 M151 938468 p63 c15 300 N 
4490.0000 M152 761960 p42 c1 300 N 
4523.0000 M153 795784 p55 p47 300 N 
4555.0000 M154 762207 c28 c22 300 N 
4589.0000 M155 788589 c34 c29 300 N 
4623.0000 M156 760115 p73 p44 300 N 
4657.0000 M157 552730 c2 p47 300 N 
4684.0000 M158 665139 c17 p49 300 N 
4711.0000 M159 681657 c31 c21 300 N 
4745.0000 M160 796114 p59 c1 300 N 
4771.0000 M161 739285 p47 p42 300 N 
4798.0000 M162 526214 c18 p59 300 N 
4825.0000 M163 672765 p60 p75 300 N 
4859.0000 M164 526052 c11 c25 300 N 
4892.0000 M165 827967 c27 c5 300 N 
4924.0000 M166 949317 c37 c12 300 N 
4958.0000 M167 854957 c11 c33 300 N 
4988.0000 M168 798916 c29 c21 300 N 
